Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound,cleaned_review,sentiment
17,Aaron F. Virginie,5,"Class 10 Speed Rating for Seamless Full HD VideoThe SanDisk Ultra UHS-I card features a Class 10 and UHS Speed Class 1 (U1) rating, the highest video performance available for recording uninterrupted Full HD** video.Flawless App PerformanceThis card can retrieve stored data almost instantly, thanks to its up to 30MB/s read capability and fast bus interface. The SanDisk Ultra microSDHC and microSDXC UHS-I cards offer faster app loading and smoother, more fluid app performance.Storage Capacities Up to 64GBThis card has plenty of room to accommodate Full HD videos, MP3s, apps, and other memory-intensive mobile files. Available in sizes up to 64GB, it can store all the apps, music, and video you want.Android App for Easy File ManagementThe included SanDisk Memory Zone app lets you easily view, access, and backup all of your digital files from your phone's memory, additional memory card, and cloud service all in one convenient place. Using the app, you can easily move files from your card to a number of cloud storage services.Durable DesignSanDisk Ultra UHS-I memory cards can capture memories from -13 to 185 degrees Fahrenheit with a shockproof, waterproof, and X-ray-proof design. Your mobile device may not survive, but your SanDisk memory card will.",7/4/2013,610,0,1,1,-1,0.0,0.0,class speed rating seamless full hd videothe sandisk ultra uhsi card feature class uhs speed class u rating highest video performance available recording uninterrupted full hd videoflawless app performancethis card retrieve stored data almost instantly thanks mb read capability fast bus interface sandisk ultra microsdhc microsdxc uhsi card offer faster app loading smoother fluid app performancestorage capacity gbthis card plenty room accommodate full hd video mp apps memoryintensive mobile file available size gb store apps music video wantandroid app easy file managementthe included sandisk memory zone app let easily view access backup digital file phone memory additional memory card cloud service one convenient place using app easily move file card number cloud storage servicesdurable designsandisk ultra uhsi memory card capture memory degree fahrenheit shockproof waterproof xrayproof design mobile device may survive sandisk memory card,positive
18,Aaron Graves,5,The read and write speeds are better than the Samsung SD card that I had previously. I would not hesitate to buy another one of these great Micro SD cards from SanDisk. I also own their Clip plus MP3 player and it works very well. I think I'm becoming a fan of the SanDisk products.,5/2/2014,306,0,0,0,0,0.0,0.0,read write speed better samsung sd card previously would hesitate buy another one great micro sd card sandisk also clip plus mp player work well think im becoming fan sandisk product,positive
19,Aaron,5,This works with the NL1520.  No video stuttering like with the 64gb.  Blah blah blah blah to fill in the rest.,1/7/2014,160,0,0,0,0,0.0,0.0,work nl video stuttering like gb blah blah blah blah fill rest,positive
20,Aaron,5,Works as expected.  High transfer speed.  Nice to have extra microSD adapters lying around since I always seem to misplace them.  Mainly bought it to use in my Nikon DSLR since I can put the card directly into my (CM modded) Nook HD+ tablet in the field and view my images on a larger screen.,27-10-2013,407,0,0,0,0,0.0,0.0,work expected high transfer speed nice extra microsd adapter lying around since always seem misplace mainly bought use nikon dslr since put card directly cm modded nook hd tablet field view image larger screen,positive
21,Aaron,5,"Works great in a Samsung Galaxy S3.  Formatted straight away, full size there.  I can't really tell the speed difference between this one and a slower card it replaced.  I guess the IO in the phone can't take advantage.",29-12-2013,344,0,0,0,0,0.0,0.0,work great samsung galaxy formatted straight away full size cant really tell speed difference one slower card replaced guess io phone cant take advantage,positive
22,Aaron Madden,5,SanDisk never disappoints. As always SanDisk products are worth every penny. Nice product and quality and works great. I recommend this product to everyone.,11/5/2013,576,0,0,0,0,0.0,0.0,sandisk never disappoints always sandisk product worth every penny nice product quality work great recommend product everyone,positive
23,aaron mckaig,5,"Good price, works flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand..",4/4/2014,248,0,0,0,0,0.0,0.0,good price work flawless samsung normal sandisk quality go brand brand,positive
24,Aaron Nash,5,San disk is hard to beat.  You will pay more for the brand but you get a quality product.  Would purchase again.,23-03-2014,260,0,0,0,0,0.0,0.0,san disk hard beat pay brand get quality product would purchase,positive
25,Aaron Smith,5,Installed in my Blackberry Q10 SQN100-1 and formatted. Works just fine. Plenty of storage space for pictures and videos of my son at the park.,28-01-2014,314,0,0,0,0,0.0,0.0,installed blackberry q sqn formatted work fine plenty storage space picture video son park,positive
26,Aaron T. Swain,5,"I just received my card, it is the class 10 64GB with the correct serial#SDSDQUA-064G-A11A. I received it in an unopened SanDisk packaging. I am going to use it on my HTC Rezound, I hope it works. From what I have read, it will work after reformatting the disk. I will update this review if I have any issues using it, if not, my rating will remain unchanged...",26-07-2012,865,1,1,2,0,0.5,0.094531206,received card class gb correct serialsdsdquagaa received unopened sandisk packaging going use htc rezound hope work read work reformatting disk update review issue using rating remain unchanged,positive
27,A. Atkinson,5,"Stuck it in my S2, formatted in settings, works great! Already filled with music, pics and videos...  Get this card, format it right, and you'll have no problems.  If your phone won't do it right, should have got a Samsung! haha...",21-11-2012,747,0,0,0,0,0.0,0.0,stuck formatted setting work great already filled music pic video get card format right youll problem phone wont right got samsung haha,positive
28,ABailey8833,5,"I purchased two of these one for my Samsung tablet and one for my samsung galaxy note. Great hardware that is truly speedy, responsive and meets my needs!",28-12-2012,710,1,0,1,1,1.0,0.206549314,purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meet need,positive
29,abbadon,5,"As advertised, specs match.  As long as the device you as using it in can handle it (i.e. USB 3.0, not some crapple bs) it delivers the advertised speed.  P.S. The speed is READ, not WRITE, but you knew that, right?",25-10-2013,409,0,0,0,0,0.0,0.0,advertised spec match long device using handle ie usb crapple b delivers advertised speed p speed read write knew right,positive
30,ABC317,5,This item is great!  I can't believe how small it is.  Imagine 64gb this size back in the 70's when they had whole buildings full of computers that couldn't pack this much space!  Great item.,16-10-2013,418,0,0,0,0,0.0,0.0,item great cant believe small imagine gb size back whole building full computer couldnt pack much space great item,positive
31,Abdul Purnell Askew SR,5,"I've been trying for a while to get a hold of a 32GB Micro SD for my phone and tablet.  It's pretty fast compared to the 16GB cards I've been using.  I really saw the performance boost with my phone, which I have many apps, pictures, music, and other documents on.  The phone boots fully stable in about 2 mins as apposed to 5-6 mins.  My computer also can write to these cards much faster than the 16GB ones I was using.  If you phone, tablet or any other device can support it I recommend you purchase these.  Also you pay like half the price using Amazon as opposed to other retail stores who's price is at least double or more.  I've seen these same cards going for about $72 in my area.",15-04-2013,602,0,0,0,0,0.0,0.0,ive trying get hold gb micro sd phone tablet pretty fast compared gb card ive using really saw performance boost phone many apps picture music document phone boot fully stable min apposed min computer also write card much faster gb one using phone tablet device support recommend purchase also pay like half price using amazon opposed retail store who price least double ive seen card going area,positive
32,"Abdulrahman J. Alrashed ""dr34m3r""",1,"I bought 2 of those SanDisk 32 GB microSD , used them on my Galaxy Note and Galaxy S4First one , my phone started saying it was removed , then recognize it again :) then diedI thought it's just a luck , plugged in the 2nd one :) stayed for about 2 months and died suddenly ! and lost everythingnever buying from SanDisk again .. ever",8/3/2013,640,0,0,0,0,0.0,0.0,bought sandisk gb microsd used galaxy note galaxy sfirst one phone started saying removed recognize diedi thought luck plugged nd one stayed month died suddenly lost everythingnever buying sandisk ever,negative
33,"Abel Feliciano ""Ace Master""",4,The memory card is an excellent condition and work as described. Dependable and easy to use. An excellent choice for the enthusiast who requires more storage.,9/11/2012,759,0,0,0,0,0.0,0.0,memory card excellent condition work described dependable easy use excellent choice enthusiast requires storage,positive
34,A. Bell,5,I've got a couple of these in varying sizes. I've had no problems and no complaints about speed. I always end up buying more because the prices are so low for what you get.,18-08-2013,477,0,0,0,0,0.0,0.0,ive got couple varying size ive problem complaint speed always end buying price low get,positive
35,A. Berrios,5,I only had 8 gigs of memory on my Note 2 and was running out of room. Now I have so much memory space available I don't know what to do with it.,5/10/2014,64,0,0,0,0,0.0,0.0,gig memory note running room much memory space available dont know,positive
36,Abe The Babe,5,Bought it for my Surface Pro. I've had it in there for a few months and I've had no problems. Very fast and stable.,30-07-2013,496,0,0,0,0,0.0,0.0,bought surface pro ive month ive problem fast stable,positive
37,Abhi gautam,5,I would recommend this card to everyone.Data Transfer speeds - excellent with this card on my Galaxy S2.  Didn't need to format the card or anything. I am 100% satisfied.,10/7/2012,881,1,0,1,1,1.0,0.206549314,would recommend card everyonedata transfer speed excellent card galaxy didnt need format card anything satisfied,positive
38,Abraham Arturo Meza Marin,1,"I bougth this micro SD card after some trubles with other that i got from Kingston, i can tell that SanDisk is other quality, this is the best, my i9300 phone can read a 64GB very fast, the dta transfer speed from my pc to my is amazing, if you are looking for additional storage to you phone, for music, pictures and other type of files, this is for you.Pros-Very good quality materials of construction-Amazing speedUpdate after one year this memory is damaged I can not delete or put new files on it, I can not format this memory, I tried to format with my phone, with my pc, with a camera and nothing, now this is like a 64gb cd, the data in the memory is only available to read but I can not move, or delete it, I bought this memory to be used to backup all my data of my android device but now is only a readable memory I can not write data on it any more, I hope sandisk make a better products in the future!!! Total disagree I will buy a Samsung memory card expected a better quality.",19-02-2013,657,0,0,0,0,0.0,0.0,bougth micro sd card trubles got kingston tell sandisk quality best phone read gb fast dta transfer speed pc amazing looking additional storage phone music picture type file youprosvery good quality material constructionamazing speedupdate one year memory damaged delete put new file format memory tried format phone pc camera nothing like gb cd data memory available read move delete bought memory used backup data android device readable memory write data hope sandisk make better product future total disagree buy samsung memory card expected better quality,negative
39,Abraham,5,"Using this in a contout gps camera,  don't waste your time buying any other brand it will be a waste. Buy the best to start with.",8/12/2013,365,0,0,0,0,0.0,0.0,using contout gps camera dont waste time buying brand waste buy best start,positive
40,"Abraham Kovler ""ripvanlink""",5,"This is a fantastic little drive, has all the gigabytes it says, works in all ways I can discern and I use it to hold the flac recordings I play on my excellent Fiio X5 digital audio player. This is the real thing and not one of the fakes that, evidently, are out there.",7/9/2014,92,0,0,0,0,0.0,0.0,fantastic little drive gigabyte say work way discern use hold flac recording play excellent fiio x digital audio player real thing one fake evidently,positive
41,Abram Vargas,5,"I am very happy with this Micro SD.  I could tell the difference in the response time in my BB curve as well as my Asus tablet.  If you want something that can transfer files Photos, Videos, and Music faster this is the Micro SD card for you. Now I will say this there are faster cards out there but not at this price.  This does the trick for my devices.  Now it you are a Professional Photographer you might want to go with the Ultra 3 Micro SD but if you are an everyday user this will work wonders for you device.",13-08-2012,847,0,0,0,0,0.0,0.0,happy micro sd could tell difference response time bb curve well asus tablet want something transfer file photo video music faster micro sd card say faster card price trick device professional photographer might want go ultra micro sd everyday user work wonder device,positive
42,A. Brattoli,5,"I've purchased several of these little babies over the years, and I always buy SanDisk. I've never had one fail, the price is great for the amount of storage you get.",3/10/2014,66,0,0,0,0,0.0,0.0,ive purchased several little baby year always buy sandisk ive never one fail price great amount storage get,positive
43,"Abused Commuter ""abused_commuter""",1,"Ordered this for a Galaxy S3.  Lasted a few months and then broke.  Is not accessible on several different PC's.Says ""limited lifetime"" warranty - BS.  You have ONE MONTH for Eco Zone.  Not only did I lose pictures but now I am out $$ because of a crappy return policy.In the future I will be buying Kingston, not Sandisk.-----------------Update:  Amazon Customer service made good and refunded my purchase price.  I still will not be buying any more Sandisk memory cards however...",20-07-2013,506,0,1,1,-1,0.0,0.0,ordered galaxy lasted month broke accessible several different pcssays limited lifetime warranty b one month eco zone lose picture crappy return policyin future buying kingston sandiskupdate amazon customer service made good refunded purchase price still buying sandisk memory card however,negative
44,abushaheed,4,"more like 8mb/s in my Note 10.1 and that's using SanDisk's own app. A bit faster in my Note II, but still a disappointment for devices with quad core processors. Not sure if it's the card or the device, so benefit of the doubt and four stars.",1/6/2013,555,0,0,0,0,0.0,0.0,like mb note thats using sandisks app bit faster note ii still disappointment device quad core processor sure card device benefit doubt four star,positive
45,"A. Bystricky ""Tony B.""",5,"not much to say other than plug and play, good quality and fits a lot of video ...good good good",17-02-2014,294,0,0,0,0,0.0,0.0,much say plug play good quality fit lot video good good good,positive
46,AC500Driver,5,"A new camcorder required fast SD (micro) and SanDisk products have always provided first class service, so the extra cost is well worth it.",4/3/2014,279,0,0,0,0,0.0,0.0,new camcorder required fast sd micro sandisk product always provided first class service extra cost well worth,positive
47,"A. Carr ""game hater""",5,"This tiny marvel does what it claims.  The only possible problem is that it is SO small that you may lose it if you happen to drop it during handling.  But with 16 GB capacity, you won't be handling it often.",29-04-2014,223,0,0,0,0,0.0,0.0,tiny marvel claim possible problem small may lose happen drop handling gb capacity wont handling often,positive
48,acballer,5,It does the job and the price was right. It came quickly so I'm very happy for the purchase.  I would recommend it and would but it again.,19-01-2014,323,0,0,0,0,0.0,0.0,job price right came quickly im happy purchase would recommend would,positive
49,Ace of Sevens,2,"I used this for a few months in my phone, then it decided to quit mounting. I lost some pictures of pets who died shortly after. I got a replacement card, but I had to send in the old one, giving up any chance of recovering its contents. The new one's worked fine, but failing after 3 months in inexcusable.",31-01-2014,311,0,0,0,0,0.0,0.0,used month phone decided quit mounting lost picture pet died shortly got replacement card send old one giving chance recovering content new one worked fine failing month inexcusable,negative
50,ac,5,"A memory card either works or it doesn't. This was always going to be a one star or five star review - no middle ground.The adapter is a nice bonus too, though I don't think I have anything to use it with.",21-07-2013,505,0,0,0,0,0.0,0.0,memory card either work doesnt always going one star five star review middle groundthe adapter nice bonus though dont think anything use,positive
51,AC,5,"I purchased this card to use in my ContourROAM2 and it works great.  All I had to do was put the card in the camera, format it, and I was good to go.  It allows me to easily record hours of 720p/60fps video without running out of space or slowing down.",14-01-2013,693,0,0,0,0,0.0,0.0,purchased card use contourroam work great put card camera format good go allows easily record hour pfps video without running space slowing,positive
52,A. Chock,5,Upgraded from 32GB to 64GB card for my Galaxy Note phone.  Looks like it works fine and has full capacity.  Good product.,28-12-2012,710,0,0,0,0,0.0,0.0,upgraded gb gb card galaxy note phone look like work fine full capacity good product,positive
53,A. Cho,4,"everything about it was great, except for the adapter.  It was to tight i had to use a tool to take it back out of the adapter causing me to chip it. so my fault i guess, but i also bought a 16gb version and the adapter for that one was fine.",7/10/2013,427,0,0,0,0,0.0,0.0,everything great except adapter tight use tool take back adapter causing chip fault guess also bought gb version adapter one fine,positive
54,a_compulsive_reader,5,"Liked the first one I purchased so much, I bought a second one. Very, very fast read and write speeds at a good price, plus SanDisk has the best software and device compatibility.  Forget thumb drives - this is your most flexible, durable option.  Use direct in your tablet or smart phone and/or buy a decent usb card reader you can load this in and, voila, instant super-speedy, upgradeable thumb drive.  Works great in my tablet and in my newer card reader - and still kicks the butt of every thumb drive I know of even when used with my old plastic USB 2.0 card reader held together with scotch tape, lol.  Have purchased several microSD cards since they first came out, from 2GB to 32GB, and all still work fine - I cannot say the same re the thumb drives I purchased during that same time period.One point - beware of counterfeits.  Samsung is the number one brand so, unfortunately, they get counterfeited a LOT.  So check reviews and only buy from a reliable seller.  I suggest buying direct from Amazon (or Memory Mogul) - I have purchased from both with no issues.",23-11-2013,380,0,0,0,0,0.0,0.0,liked first one purchased much bought second one fast read write speed good price plus sandisk best software device compatibility forget thumb drive flexible durable option use direct tablet smart phone andor buy decent usb card reader load voila instant superspeedy upgradeable thumb drive work great tablet newer card reader still kick butt every thumb drive know even used old plastic usb card reader held together scotch tape lol purchased several microsd card since first came gb gb still work fine say thumb drive purchased time periodone point beware counterfeit samsung number one brand unfortunately get counterfeited lot check review buy reliable seller suggest buying direct amazon memory mogul purchased issue,positive
55,acondie13,5,Really you can't say anything bad about it. Does what it says. Super fast and great storage size for lots of movies and such.,16-03-2014,267,0,0,0,0,0.0,0.0,really cant say anything bad say super fast great storage size lot movie,positive
56,ACZ,4,"Used in my phone it's plenty fast and works just like it should. Unexpectedly comes with mini and full SD card size adapters, which is nice. &#34;Fool-proof&#34; packaging or whatever it was, that was laughable. Packaging was decent it just shouldn't have bragged about being impossible to mess up when I messed it up.",11/5/2013,576,0,0,0,0,0.0,0.0,used phone plenty fast work like unexpectedly come mini full sd card size adapter nice foolproof packaging whatever laughable packaging decent shouldnt bragged impossible mess messed,positive
57,adam,5,This is just the standard micro SD card i would recommend this to anyone. i purchased this for my dad who is using it to expand the memory on his tablet! it shipped fast and is a slight bit cheaper than in the stores i believe.,1/8/2014,129,0,0,0,0,0.0,0.0,standard micro sd card would recommend anyone purchased dad using expand memory tablet shipped fast slight bit cheaper store believe,positive
58,Adam J. Hanson,5,"I ordered this for my new Samsung Galaxy note II, and it works awesome! Installed it, and had no problems. I loaded all my music on it, and didn't even scratch the surface of the capacity of this card! I shouldn't ever have to worry about running outta room with this card. Highly recommended for any smartphone user!",27-01-2013,680,0,0,0,0,0.0,0.0,ordered new samsung galaxy note ii work awesome installed problem loaded music didnt even scratch surface capacity card shouldnt ever worry running outta room card highly recommended smartphone user,positive
59,"Adam J. Lomprey ""lompreya""",5,Great Deal and much faster file movement.Definitely worth the purchase and sandisk has proved why they have good products.,27-08-2013,468,0,0,0,0,0.0,0.0,great deal much faster file movementdefinitely worth purchase sandisk proved good product,positive
60,Adam M Barnes,5,"You'll pay $10 more for these anywhere else. I was initially leery of buying another SD card on amazon. 4 years ago I did so, and the card was a fake (said it had 32 gigs when plugged into the computer, but you could only load about 11 onto it, and it would say &#34;full.&#34; Apparently there's a way to fool your computer into thinking there's more space than there is, and this is what the fake/counterfeit cards will do).Not so with this one. It's the real deal, genuine SanDisk, and contains as many GB as it says it does. I'm a very pleased customer.",2/12/2014,6,0,0,0,0,0.0,0.0,youll pay anywhere else initially leery buying another sd card amazon year ago card fake said gig plugged computer could load onto would say full apparently there way fool computer thinking there space fakecounterfeit card donot one real deal genuine sandisk contains many gb say im pleased customer,positive
61,Adam M.,5,"Use this in my Samsung Galaxy S4.  Have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install.",13-07-2014,148,0,0,0,0,0.0,0.0,use samsung galaxy almost year problem really expands memory capability easy enough install,positive
62,adam smith,5,"32gb of storage for my new Asus tablet, what's not to love? I can't imagine paying more for the model with the upgraded storage, especially since it's usually like $100 more. This thing was cheap and works great.",26-11-2013,377,0,0,0,0,0.0,0.0,gb storage new asus tablet whats love cant imagine paying model upgraded storage especially since usually like thing cheap work great,positive
63,"Adam Sorenson ""Adam""",5,"excellent quality, excellent speed. no complaints here. very easy to use, reliable and the red stripe on the front makes it easy to find on a crowded desk",12/12/2013,361,0,0,0,0,0.0,0.0,excellent quality excellent speed complaint easy use reliable red stripe front make easy find crowded desk,positive
64,"Adam Wright ""Electrical Engineer""",3,"This card advertises itself as UHS1 but it's actually UHS50.This means that it will not go up to SDR104 speeds/throughput.Not necessary bad, just false advertising.",9/9/2013,455,1,0,1,1,1.0,0.206549314,card advertises uhs actually uhsthis mean go sdr speedsthroughputnot necessary bad false advertising,neutral
65,Adan Montiel,5,"Purchase for HP tablet to have more memory for music download, pictures, and video.  Have enough room to store and some memory left over.",2/8/2014,128,0,0,0,0,0.0,0.0,purchase hp tablet memory music download picture video enough room store memory left,positive
66,Adanna,5,"Can there be anything wrong with a sandisk product?  the items read to it sooooo quickly, I am quite happy,",1/3/2014,282,0,0,0,0,0.0,0.0,anything wrong sandisk product item read sooooo quickly quite happy,positive
67,adavey,5,A lot of people want big memory which is fine. But you need to look at speed class. This one is class 10. Which is great when your taking pictures or video. It will not freeze because it can move the MB/s fast enough. Lesser speed cards will freeze or will say waiting for camera and you will miss the moment. Its also a Sandisk which is a name you can trust when it come to memory cards.,21-12-2012,717,0,0,0,0,0.0,0.0,lot people want big memory fine need look speed class one class great taking picture video freeze move mb fast enough lesser speed card freeze say waiting camera miss moment also sandisk name trust come memory card,positive
68,Adeel Azhari,5,"fast transfer rates, I downloaded about 2GB of videos form the card to my laptop through a card reader, all in about a minute",7/7/2013,519,0,0,0,0,0.0,0.0,fast transfer rate downloaded gb video form card laptop card reader minute,positive
69,adg44,5,"There is something to be said about SanDisk. You plug it in and it just works. I've never had one be DOA or any memory issues throughout the years, both for my camera and storage products. I installed this in my Galaxy SIII and it recognized it right away and I was able to dump my music onto it. Speed seems great as well, no complaints.",26-11-2012,742,0,0,0,0,0.0,0.0,something said sandisk plug work ive never one doa memory issue throughout year camera storage product installed galaxy siii recognized right away able dump music onto speed seems great well complaint,positive
70,A discerning buyer,5,"How do I praise extra memory? It fills my MP3 player with every song my heart desires, the sound quality is perfect. The ease of use is superb. It's great.",20-08-2013,475,0,1,1,-1,0.0,0.0,praise extra memory fill mp player every song heart desire sound quality perfect ease use superb great,positive
71,Adrian,5,"All though it states 16gig it only has 14.8gig available but I know that happens and expected it, keep this in mind if your wanting more storage you might want to order the 32gig card.  It was exactly what i expected and needed so no complaints.",12/6/2012,909,0,0,0,0,0.0,0.0,though state gig gig available know happens expected keep mind wanting storage might want order gig card exactly expected needed complaint,positive
72,Adrian,5,"does the job as advertised.if you need extra memory on your phone/tablet or whatever device, this is bext buy(price/quality)",2/10/2014,67,0,0,0,0,0.0,0.0,job advertisedif need extra memory phonetablet whatever device bext buypricequality,positive
73,"Adrianne Ayres ""Sabrina""",5,Needed for my cell phone - works perfectly.  SanDisk has never been a disappointment in the 30 plus years I've been in IT/computer work.,16-12-2013,357,0,0,0,0,0.0,0.0,needed cell phone work perfectly sandisk never disappointment plus year ive itcomputer work,positive
74,A E D III,5,"Priced right, this memory card also reads and writes fast. It's a noticeable difference over cheaper cards. I put it in my phone and plan to buy another one for my tablet.",10/11/2013,393,0,0,0,0,0.0,0.0,priced right memory card also read writes fast noticeable difference cheaper card put phone plan buy another one tablet,positive
75,A. Felson,5,"works great on my sprint htc evo 4g lte.  Formatted w/ fat32 so of course the maximum file size is 4gb meaning no full length hidef movies.  However, this isn't a problem;  I bought the card for putting a music library on my phone.Like all class 10 micro-sdhc cards, it does NOT do 10MB/s, but it's closer than any other class 10 card I've ever tried.  Most do 3-4MB/s.  Kingston 32GB did 7MB/s.  This card does about 8-9MB/s.Can't wait till 128GB and 256GB cards become available and affordable.",15-10-2012,784,1,1,2,0,0.5,0.094531206,work great sprint htc evo g lte formatted w fat course maximum file size gb meaning full length hidef movie however isnt problem bought card putting music library phonelike class microsdhc card mb closer class card ive ever tried mb kingston gb mb card mbscant wait till gb gb card become available affordable,positive
